Running Backs,Team,Opp,tier,fp_min,fp_avg,fp_max
Saquon Barkley,NYG,at DAL,1.0,10.57,12.865285714285715,16.845714285714283
Christian McCaffrey,CAR,vs. LAR,1.0,10.57,12.865285714285715,16.845714285714283
Alvin Kamara,NO,vs. HOU,1.0,10.57,12.865285714285715,16.845714285714283
Dalvin Cook,MIN,vs. ATL,1.0,10.57,12.865285714285715,16.845714285714283
Nick Chubb,CLE,vs. TEN,1.0,10.57,12.865285714285715,16.845714285714283
Chris Carson,SEA,vs. CIN,1.0,10.57,12.865285714285715,16.845714285714283
David Johnson,ARI,vs. DET,1.0,10.57,12.865285714285715,16.845714285714283
Ezekiel Elliott,DAL,vs. NYG,1.0,10.57,12.865285714285715,16.845714285714283
James Conner,PIT,at NE,1.0,10.57,12.865285714285715,16.845714285714283
Leonard Fournette,JAC,vs. KC,1.0,10.57,12.865285714285715,16.845714285714283
Todd Gurley,LAR,at CAR,1.0,10.57,12.865285714285715,16.845714285714283
Le'Veon Bell,NYJ,vs. BUF,1.0,10.57,12.865285714285715,16.845714285714283
Kerryon Johnson,DET,at ARI,1.0,10.57,12.865285714285715,16.845714285714283
Sony Michel,NE,vs. PIT,1.0,10.57,12.865285714285715,16.845714285714283
Mark Ingram,BAL,at MIA,1.0,10.57,12.865285714285715,16.845714285714283
Joe Mixon,CIN,at SEA,1.0,10.57,12.865285714285715,16.845714285714283
Aaron Jones,GB,at CHI,1.0,10.57,12.865285714285715,16.845714285714283
Derrick Henry,TEN,at CLE,1.0,10.57,12.865285714285715,16.845714285714283
Devonta Freeman,ATL,at MIN,1.0,10.57,12.865285714285715,16.845714285714283
Damien Williams,KC,at JAC,1.0,10.57,12.865285714285715,16.845714285714283
Austin Ekeler,LAC,vs. IND,1.0,10.57,12.865285714285715,16.845714285714283
Marlon Mack,IND,at LAC,1.0,10.57,12.865285714285715,16.845714285714283
Tevin Coleman,SF,at TB,1.0,10.57,12.865285714285715,16.845714285714283
David Montgomery,CHI,vs. GB,2.0,7.3149999999999995,10.178253532182104,13.17
Josh Jacobs,OAK,vs. DEN,2.0,7.3149999999999995,10.178253532182104,13.17
Phillip Lindsay,DEN,at OAK,2.0,7.3149999999999995,10.178253532182104,13.17
Duke Johnson,HOU,at NO,2.0,7.3149999999999995,10.178253532182104,13.17
Matt Breida,SF,at TB,2.0,7.3149999999999995,10.178253532182104,13.17
James White,NE,vs. PIT,2.0,7.3149999999999995,10.178253532182104,13.17
