Wide Receivers,Team,Opp,tier,fp_min,fp_avg,fp_max
DeAndre Hopkins,HOU,at NO,1.0,11.205,12.725833333333332,14.73
Odell Beckham Jr.,CLE,vs. TEN,1.0,11.205,12.725833333333332,14.73
Michael Thomas,NO,vs. HOU,1.0,11.205,12.725833333333332,14.73
Mike Evans,TB,vs. SF,1.0,11.205,12.725833333333332,14.73
Davante Adams,GB,at CHI,1.0,11.205,12.725833333333332,14.73
JuJu Smith-Schuster,PIT,at NE,1.0,11.205,12.725833333333332,14.73
Julio Jones,ATL,at MIN,1.0,11.205,12.725833333333332,14.73
Tyreek Hill,KC,at JAC,1.0,11.205,12.725833333333332,14.73
Keenan Allen,LAC,vs. IND,1.0,11.205,12.725833333333332,14.73
Adam Thielen,MIN,vs. ATL,1.0,11.205,12.725833333333332,14.73
Tyler Lockett,SEA,vs. CIN,1.0,11.205,12.725833333333332,14.73
Amari Cooper,DAL,vs. NYG,1.0,11.205,12.725833333333332,14.73
Stefon Diggs,MIN,vs. ATL,1.0,11.205,12.725833333333332,14.73
Brandin Cooks,LAR,at CAR,1.0,11.205,12.725833333333332,14.73
Chris Godwin,TB,vs. SF,1.0,11.205,12.725833333333332,14.73
Kenny Golladay,DET,at ARI,1.0,11.205,12.725833333333332,14.73
Julian Edelman,NE,vs. PIT,1.0,11.205,12.725833333333332,14.73
Robert Woods,LAR,at CAR,1.0,11.205,12.725833333333332,14.73
Cooper Kupp,LAR,at CAR,1.0,11.205,12.725833333333332,14.73
Tyler Boyd,CIN,at SEA,1.0,11.205,12.725833333333332,14.73
Mike Williams,LAC,vs. IND,1.0,11.205,12.725833333333332,14.73
T.Y. Hilton,IND,at LAC,1.0,11.205,12.725833333333332,14.73
Allen Robinson,CHI,vs. GB,1.0,11.205,12.725833333333332,14.73
Alshon Jeffery,PHI,vs. WAS,1.0,11.205,12.725833333333332,14.73
D.J. Moore,CAR,vs. LAR,1.0,11.205,12.725833333333332,14.73
Will Fuller,HOU,at NO,1.0,11.205,12.725833333333332,14.73
Marvin Jones,DET,at ARI,1.0,11.205,12.725833333333332,14.73
Dede Westbrook,JAC,vs. KC,1.0,11.205,12.725833333333332,14.73
Calvin Ridley,ATL,at MIN,1.0,11.205,12.725833333333332,14.73
Dante Pettis,SF,at TB,1.0,11.205,12.725833333333332,14.73
Robby Anderson,NYJ,vs. BUF,1.0,11.205,12.725833333333332,14.73
Sterling Shepard,NYG,at DAL,1.0,11.205,12.725833333333332,14.73
Curtis Samuel,CAR,vs. LAR,1.0,11.205,12.725833333333332,14.73
Sammy Watkins,KC,at JAC,1.0,11.205,12.725833333333332,14.73
Corey Davis,TEN,at CLE,1.0,11.205,12.725833333333332,14.73
Christian Kirk,ARI,vs. DET,1.0,11.205,12.725833333333332,14.73
